№,Описание,Статус,ID Баг-репорта,Требование
1,В карточке маршрута отображается кнопка Детали маршрута.,PASSED,,1.1
2,"Если текущее время превышает время окончания маршрута, то временной интервал маршрута обновляется.",FAILED,BUG-274965,1.2
3,Станцию можно выбрать тапом на схеме.,PASSED,,2.1
4,Станцию можно выбрать по иконке i из разных карточек маршрута.,PASSED,,2.1
5,"Если выбрать станцию тапом на i и закрыть карточку станции, должен происходить возврат на экран поиска.",FAILED,BUG-272419,2.1
6,"Нажать на ""Поиск"" и выбрать станцию метро.",PASSED,,2.1
7,Выбрать на схеме станцию точка уменьшается.,PASSED,,2.2
9,Выбрать на схеме метро закрытую станцию на точке станции появляется специальный пин для закрытой станции,PASSED,,2.2
10,"Выбрать станцию. Нажать на поле «Откуда» или «Куда» раскрывается список, содержащий станции, которые пользователь выбирал ранее. Список должен сохраниться и в новой версии приложения.",FAILED,BUG-274990,2.2
11,"При выборе станции на схеме,шрифт названия станции становится bold",PASSED,,2.2
12,"Открыть Детали маршрута по тапу на кнопку ""Деталей маршрута""",PASSED,,3.1
13,Открыть Детали маршрута по свайпу списка маршрутов вверх(только для смартфонов в портретной ориентации).,PASSED,,3.1
14,"В карточке маршрута сменить ориентацию с портретной на ландшафтную ""Детали маршрута"" отображаются в левой части экрана.",FAILED,BUG-282489,3.2
15,При отсутствии интернет-соединения появляется уведомление об ошибке.,FAILED,BUG-274232,4
16,Сменить ориентацию экрана на альбомную Карточка маршрута отображается в левой части экрана.,PASSED,,5
17,"Сменить ориентацию экрана на альбомную, станции и поля поиска отображаются в левой части экрана.",PASSED,,5
18,"Сменить ориентацию экрана на альбомную, масштаб построенного маршрута не должен увеличиться или уменьшиться.",FAILED,BUG-274278,5
19,"При нажатие на станцию при помощи лонг-тапа, откроется карточка станции с кнопками «Отсюда»/«Сюда»",FAILED,BUG-282514,6
20,"При нажатие на станцию при помощи лонг-тапа, схема не должна смещаться вверх/вниз/влево/вправо",FAILED,BUG-278349,6
21,"При скролле лонгтапом можно выбрать нужную станцию, при этом схема остаётся неподвижной",FAILED,BUG-274293,7
22,"При скролле лонгтапом на область клика точки станции или её названия, на точку ставится пин,точка станции уменьшается,название станции выделяется жирным шрифтом, появляется карточка станции",PASSED,,7
23,"Перевести фокус из зоны клика, пин на станции и выделение станции пропадает.",PASSED,,7
24,"При скролле лонгтапом движение закончить на пустой области, карточка станции закроется.",PASSED,,7